"%s %s cycle.","%s %s период."
"--Please Select--","--Выберите--"
"3D Secure Card Validation","Проверять указанные реквизиты по технологии 3D Secure Card?"
"3D Secure Credit Card Validation","3D Secure Credit Card Validation"
"<label>Make Check payable to:</label> %s","<label>Имя получателя:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Обязательно к заполнению перед переводом магазина в промышленный режим"
"Allow Initial Fee Failure","Разрешить отсутствие первоначального взноса"
"An internal reference ID is required to save the payment profile.","Для сохранения платёжного профиля укажите системный номер транзакции-образца."
"Auto Bill on Next Cycle","Auto Bill on Next Cycle"
"Automatically Invoice All Items","Создавать ли вместе с документом-заказом сразу и документ-счёт?"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments)."
"Billing Agreement status is not set.","Неполадка системы: соглашение о безакцептном списании находится в неизвестном состоянии."
"Billing Amount","Billing Amount"
"Billing Frequency","Billing Frequency"
"Billing Period","Billing Period"
"Billing Period Unit","Billing Period Unit"
"Billing period unit is not defined or wrong.","Billing period unit is not defined or wrong."
"Cannot retrieve payment method instance.","Cannot retrieve payment method instance."
"Cannot retrieve the payment info model object.","Cannot retrieve the payment info model object."
"Cannot retrieve the payment method model object.","Cannot retrieve the payment method model object."
"Card Verification Number","Код проверки подлинности карты"
"Centinel API URL","Веб-адрес пригладного программного интерфейса проверки Centinel (индивидуален для Вашего магазина)"
"Check / Money Order","Чек или денежный перевод типа Money Order"
"Credit Card Number","Номер банковской карты"
"Credit Card Number: xxxx-%s","Номер банковской карты: хххх- %s"
"Credit Card Type","Тип банковской карты"
"Credit Card Type: %s","Тип банковской карты: %s"
"Credit Card Types","Типы банковских карт"
"Currency","Валюта"
"Currency code is undefined.","Код валюты не определён."
"Customer ID is not set.","Неполадка: система не знает, к какому покупателю относится данный договор."
"Day","День"
"Debug Mode","Режим отладки"
"Enabled","Включен?"
"Expiration Date","Дата истечения срока действия"
"Expiration Date: %s/%s","Дата истечения срока действия: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","ФИО подписчика."
"Initial Fee","Первоначальный взнос"
"Initial non-recurring payment amount due immediately upon profile creation.","Первичный взнос (снимается в момент подписки)."
"Internal Reference ID","Системный номер транзакции-образца"
"Issue Number","Issue Number"
"Make Check Payable to","Имя получателя"
