"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","''*' - соответствует всему; 'xyz*' - соответствует всему, что начинается на 'xyz' и не длиннее %d."
"-- Please Select --","-- Выберите --"
"Add New Class","Добавить класс"
"Add New Tax Rate","Добавить налоговую ставку"
"Add New Tax Rule","Добавить налоговое правило"
"After Discount","После скидки"
"An error occurred while deleting this rate.","При удалении налоговой ставки произошёл сбой."
"An error occurred while deleting this rate. Incorrect rate ID.","При удалении налоговой ставки произошёл сбой. Система не смогла найти налоговую ставку с указанным номером."
"An error occurred while deleting this tax class.","При удалении налоговой группы произошёл сбой."
"An error occurred while deleting this tax rule.","При удалении налогового правила произошёл сбой."
"An error occurred while saving this rate.","При сохранении налоговой ставки произошёл сбой."
"An error occurred while saving this tax class.","При сохранении налоговой группы произошёл сбой."
"An error occurred while saving this tax class. A class with the same name already exists.","При сохранении системы налогообложения произошёл сбой: в системе уже присутствует одноимённая система налогообложения."
"An error occurred while saving this tax rule.","При сохранении налогового правила произошёл сбой."
"Apply Customer Tax","Учесть налоги"
"Apply Discount On Prices","Применить скидку на цены"
"Apply Tax On","Применить налог к"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","Apply discount on price including tax is calculated based on store tax, если выбрано «Применить налог после скидки»."
"Are you sure you want to do this?","Подтверждаете операцию?"
"Back","Вернуться"
"Before Discount","До скидки"
"CSV","CSV"
"Calculation Settings","Настройки вычисления"
"Catalog Prices","Цены каталога"
"Class Name","Название класса"
"Code","Код"
"Country","Страна"
"County","Округ"
"Custom price if available","Индивидуальная цена, если доступна"
"Customer Tax Class","Налоговая группа покупателей"
"Customer Tax Class Information","Информация о налоговой группе покупателей"
"Customer Tax Classes","Налоговые группы покупателей"
"Default Country","Страна по умолчанию"
"Default Post Code","Почтовый код по умолчанию"
"Default State","Штат по умолчанию"
"Default Tax Destination Calculation","Вычисление налога по умолчанию"
"Delete Class","Удалить класс"
"Delete Rate","Удалить ставку"
"Delete Rule","Удалить правило"
"Display Full Tax Summary","Отображать полную сводку по налогам"
"Display Prices","Отображать цены"
"Display Product Prices In Catalog","Отображать цены товаров в каталоге"
"Display Shipping Amount","Отображать сумму доставки"
"Display Shipping Prices","Отображать цены доставки"
"Display Subtotal","Отображать промежуточный итог"
"Display Zero Tax Subtotal","Отображать промежуточный итог нулевого налога"
"Edit Class","Редактировать класс"
"Edit Class '%s'","Редактировать класс «%s»"
"Edit Rule","Редактировать правило"
"Edit Tax Rate","Редактировать налоговую ставку"
"Excel XML","Excel XML"
"Excl. Tax","Без налога"
"Excl. Tax:","Без налога:"
"Excluding Tax","Без налога"
"Export Tax Rates","Экспорт налоговых ставок"
"Grand Total (Excl. Tax)","Итого (без налога)"
"Grand Total (Excl.Tax)","Итого (без налога)"
"Grand Total (Incl. Tax)","Итого (включая налог)"
"Grand Total (Incl.Tax)","Итого (включая налог)"
"Grand Total Excl. Tax","Итого без налога"
"Grand Total Incl. Tax","Итого, включая налог"
"Import / Export Tax Rates","Импорт и экспорт налоговых ставок"
"Import Tax Rates","Импорт налоговых ставок"
"Inc. Tax","Включая налог"
"Incl. Tax","Включая налог"
"Incl. Tax:","Включая налог:"
"Include Tax In Grand Total","Включить налог в итоговую сумму"
"Including Tax","Включая налог"
"Including and Excluding Tax","Включая и исключая налог"
"Invalid file format upload attempt","Попытка загрузки файла с неправильным форматом"
"Invalid file upload attempt","Попытка загрузить неправильный файл"
"Manage Customer Tax Classes","Перечень налоговых групп покупателей"
"Manage Product Tax Classes","Перечень налоговых групп товаров"
"Manage Tax Rates","Перечень налоговых ставок"
"Manage Tax Rules","Налоговые правила"
"Manage Tax Zones & Rates","Налоговые ставки"
"Name","Название"
"New Class","Новый класс"
"New Rule","Новое правило"
"New Tax Rate","Новая налоговая ставка"
"No","нет"
"None","нет"
"One of the country has invalid code.","У одной из стран неверный код."
"Orders, Invoices, Creditmemos Display Settings","Настройки отображения заказов, счетов и возвратов"
"Original price only","Только первоначальная цена"
