"Authorization","Авторизация"
"Please, enter your email:","Пожалуйста, укажите свой ​​email:"
"I already registered","Я уже зарегистрирован"
"<strong>Why do we need your email address?</strong><br />On the e-mail will be sent information about your order. If you are already a customer, it will make the buying process faster.","<strong>Зачем нам адрес Вашей электронной почты?</strong><br />На e-mail будет отправлена информация о Ваших заказах. Если Вы уже являетесь нашим клиентом, это сделает процесс покупки быстрее."
"You will receive bank details via e-mail after order confirmation with operator","Вы получите письмо с информацией для перевода после подтверждения заказа с менеджером"
"Payment","Оплата"
"Delivery","Доставка"
"City:","Город:"
"Delivery:","Доставка:"
"Delivery service:","Служба доставки:"
"Office service:","Офис службы:"
"Validation has Failed.","Это поле обязательно для заполнения."
"Thanks for your order, shortly manager will contact you by phone.","Спасибо за заказ, в ближайшее время с Вами свяжется менеджер по телефону."
"Wrong Order ID and\or Email is supplied.","Неправильный номер заказа или E-mail."
"Cannot find requested order.","Запрашиваемый номер не найден"
"Review Order","Ваш заказ"
"Grand Total","Итого"
"%s Item(s)","%s шт."
"Change","Изменить"
"street, building, apartment","улица, дом, квартира/офис"
