"Checkout","Оформление заказа"
"Already Registered? Click here to Login","Зарегистрированы? Войти"
"Forgot an Item? Edit Your Cart","Редактировать корзину"
"Billing Information","Информация о плательщике"
"Payment Methods","Методы оплаты"
"Order Review","Обзор заказа"
"Login as Guest (or) Register","Купить как гость (или) зарегистрируйтесь"
"Guest","Гость"
"Register","Регистрация"
"First Name","Имя"
"Last Name","Фамилия"
"Company","Организация"
"Email Address","Email Адрес"
"Address","Адрес"
"City","Город"
"State/Province","State/Province"
"Zip/Postal Code","Zip/Postal Code"
"Country","Страна"
"Telephone","Телефон"
"Fax","Факс"
"Password","Пароль"
"Confirm Password","Подтвердить пароль"
"Name on Card","Имя на карте"
"Credit Card Type","Вид кредитной карты"
"Credit Card Number","Номер кредитной карты"
"Expiration Date","Дата истечения срока действия"
"Order Review","Обзор заказа"
"Product","Продукт"
"Qty","Количество"
"Sub Total","Промежуточный итог 	"
"Grand total","Итого к оплате"
"Place Order","Оформить заказ"
"Please login with your email address and password.","Войдите используя свой email адрес и пароль."
"Email address","Email адрес"
"Password","Пароль"
"Login","Логин"
"Forgot password?","Забыли пароль?"
"Please enter a username and password.","Введите имя пользователя и пароль."
"Return to login","Вернутся к странице логина"
"Send password","Выслать пароль"
"Please enter the email address to send a new password to your mail","Введите ваш email адрес, на него будет выслан новый пароль"
"Forgot Password","Забыли пароль"
"Please enter a valid email address","Введите правильный email адрес"
"Invalid login or password.","неправильный логин или пароль."
"Please enter a registered email address.","Введите email адрес."
"Use Billing Address","Использовать информацию о плательщике"
"Ship to same Address","Доставка по этому адресу"
"Street Address","Улица"
"Please select region, state or province","Выберите регион"
"Save in address book","Сохранить в адресной книге"
"Shipping Methods","Методы доставки"
"Coupon code:","Код купона:"
"Cancel Coupon","Отменить купон"
"Apply Coupon","Подтвердить код"
"Please enter a valid coupon code.","Введите правильный код купона."
"Sign Up for Newsletter","Подписатся на новости"
"Processing, please wait. Do not click the refresh or back button or this transaction may be interrupted or terminated.","Обрабатывается, подождите. Ничего не делайте иначе транзакция может быть прервана."
"Edit Your Cart","Редактировать корзину"
"Click here to Login","Войти"
"Please enter your Email Id and password.","Введите Ваш Email адрес и пароль."
"Subtotal","Промежуточный итог"
"Comments","Комментарии"
"I accept the ","Я принимаю "
